osd_id|site_name|version|marine_region|start_lat|start_lon|stop_lat|stop_lon|sample_depth|sample_date|water_temperature|salinity|ph|phospahte|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|other_params|remarks
OSD135|OSD135-GUAYMAS-BAY|6|GULF OF CALIFORNIA|27.9011|110.8717|27.9011|110.8717|1|2014-06-21|31.2|37.4|7.9|0.957|1.833|not determined|1.087|not determined|not determined|not determined|56.55|not determined|not determined|322.813|not determined|not determined|not determined|not determined|24.917|not determined|not determined|2.25|not determined|not determined|not determined|not determinded|"Filtered samples were shipped in dry ice, however, this material is considered hazardous for shipment and we had to remove the dryice and ship with frozen gels, the shipment took more time than promised and samples arrived in not so good conditions. We would like to keep participating in these events, however, the shipment from Mexico to Germany was very difficult, maybe there will be a pre-treatment we can do here to send samples without the cold, or maybe an intermediate location in the US where we can ship the samples with gels, that would take 2 to 3 days, not 10 days. But we loved to participate in the event."
OSD135|Helsinore Harbor|6|Baltic Sea|56.0434|12.6128|56.0434|12.6128|0.1|2014-06-21|20|17.3|8.1|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Filters were degraded during shipment"
OSD131|Zlatna ribka|6|Black sea|42.244907|27.400804|42.252939|27.415647|1|2014-06-21|22.5|14.3|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Serious rain in days prior to sampling, much income water from the land - changed sampling point"
OSD13|Varna Bay|6|Black Sea|43.175843|27.908643|43.175843|27.908643||2014-06-21|22.87|12.6|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD124|OSD124-Osaka Bay|6|Coastal region of the entrance of Osaka bay |+34.32444|+135.12083|+34.32444|+135.12083|5|2014-06-21|21.15|33.19|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD124|OSD124-Osaka Bay|6|Coastal region of the entrance of Osaka bay |+34.32444|+135.12083|+34.32444|+135.12083|5|2014-06-21|21.15|33.19|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD123|Tel Shikmona |6|Eastern mediterranean Sea|32|32|32|32|4|2014-06-22|27|39.4|not determined|0.02|0.34|not determined|not determined|not determined|not determined|not determined|not determined|6.7|not determined|not determined|not determined|not determined|4|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determinded|
OSD121|CELESTUN|6|Gulf of Mexico|20.8841|-90.4967|20.8841|-90.4967|5|2014-06-21|28.6|36.8|7|not determined|1.493|not determined|0.052|not determined|not determined|not determined|60.7|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.406|3.6|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD120|DZILAM|6|Gulf of Mexico|21.4934|-88.8468|21.4934|-88.8468|5|2014-06-21|26.7|38.98|6|not determined|0.493|not determined|0.115|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.531|3.9|not determined|not determined|not determined|not determined|not determined|not determinded|"I had a lot of troubles for the registration of this site, i had to upload it twice, but this is the good one, please discard the other"
OSD120|DZILAM|6|Gulf of Mexico|21.4934|-88.8468|21.4934|-88.8468|5|2014-06-21|26.7|38.98|6|not determined|1.493|not determined|0.052|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.438|3.6|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD119|PROGRESO|6|Gulf of Mexico|21.3142|-89.6712|21.3621|-89.6602|1|2014-06-21|25.8|36.2|7|not determined|1.526|not determined|0.115|not determined|not determined|not determined|55.6|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.438|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD118|Lough Hyne|5|ENVO:00000138|||||0.2|2014-06-24|18|38|8.93|5.2647|0.8065|not determined|0.5435|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.7778|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Actual sampling location is different to the location originally registered. GPS co-ordinates detailed here refer to ACTUAL sampling site."
OSD11|RaTS CTD site 1|6|Antarctica|67.344|68.135|67.344|68.135|15|2014-06-17|-1.62|33.47|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|will not be measured|not determinded|
OSD105|Cambridge Bay, Nunavut, Canada|6|Northwestern Passages|+69.023323|-105.34339|+69.023323|-105.34339|4.12|2014-06-21|-0.72|26.91|not determined|to be measured|to be measured|to be measured|to be measured|to be measured|will not be measured|will not be measured|not determined|not determined|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|not determined|to be measured|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|not determinded|
OSD100|CreteGOS|6|Sea of Crete, MRGID:3339, GIZ:00008919|+35.35|+25.29|+35.35|+25.29|20|2014-06-22|23.13|39.11|8.2|to be measured|to be measured|to be measured|to be measured|to be measured|to be measured|323.4|5.64|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|will not be measured|0.256|to be measured|will not be measured|not determinded|
OSD100|CreteGOS|6|Sea of Crete, MRGID:3339, GIZ:00008919|+35.35|+25.29|+35.35|+25.29|1|2014-06-22|24.21|39.05|8.2|to be measured|to be measured|to be measured|to be measured|will not be measured|to be measured|312.83|57.59|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|will not be measured|0.043|to be measured|will not be measured|not determinded|
OSD10|Lake Erie W4|6|Lake Erie|41.839834|83.18995|41.839834|83.18995|1|2014-06-21|22.4|0.14|8.78|will not be measured|not determined|not determined|not determined|not determined|not determined|not determined|284|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.06|not determined|[{"param_name":"Total Phosphorus","param_value":"0.66","uom":"uM"},{"param_name":"Total Dissolved Phosphorus","param_value":"0.38","uom":"uM"}]|"none"
OSD1, L4|L4 - Time series station|5|Western English Channel|||||1.5|2014-06-21|16.66|35.22|not determined|not determined|not determined|not determined|not determined|not determined|not determined|734.55|not determined|not determined|not determined|245.46|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.47|not determined|not determined|not determined|not determinded|
osd test|test|6||12|12|12|13|1|2014-08-20|12|38|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD 43|Scripps Pier|6|Southern California Bight|32.86698|-117.25725|32.86698|-117.25725||2014-06-21|21.03|33.54|to be measured|0.18|0.09|not determined|0.02|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined||0.5|not determined|not determined|to be measured|to be measured|to be measured|not determinded|"This submission for NE08 has more information than the previous submission for NPL022. Please refer to this one."
OSD 43|Scripps Pier|6|Southern California Bight|32.86698|-117.25725|32.86698|-117.25725||2014-06-21|21.03|33.54|to be measured|to be measured|to be measured|not determined|to be measured|to be measured|to be measured|not determined|not determined|not determined|not determined|to be measured|not determined|to be measured|not determined|not determined|to be measured|to be measured|not determined|not determined|to be measured|to be measured|to be measured|not determinded|
OSD 168|IMST-Izmir|6|Izmir Bay MRGID: 3853|38.41333|27.03421|38.41333|27.03421|2|2014-06-21|25.7352|38.301|8.29|4.563|0.123|357.96|0.196|to be measured|6601571754|will not be measured|58.32|will not be measured|will not be measured|268.671|0.399|will not be measured|will not be measured|to be measured|0.671|3.83|will not be measured|will not be measured|will not be measured|9.057|will not be measured|not determinded|
OSD 133|OSD 133 Robben Island|6|Table Bay|-33.897069|18.386825|-33.93572|18.47147|1|2014-06-21|15.06|35.16|6.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|95.87|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.56|6.48|not determined|not determined|[{"param_name":"PAR","param_value":"365.86","uom":"PAR"}]|"Dissolved Oxygen Concentration in % (from CTD)"
OSD 132|Sdot Yam|6|Mediterranean Sea: |32.0694|34.8430|32.0694|34.8430||2014-06-22|27.3|39.35|8.18|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.22|not determined|not determinded|
OSD 122|Station A1 Eilat |6|gulf of eilat|29.4667|34.9291|29.4667|34.9291||2014-06-22|24|40.5|will not be measured|to be measured|to be measured|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|will not be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determinded|
ODS147|RAJARATA|5|Indian Ocean||||||2014-06-21|28.8|33|8.06|not determined|not determined|not determined|not determined|not determined|not determined|not determined|53.2|not determined|not determined|229.2|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
ODD36|Delaware|6|Delaware Bay Estuary|39.3322|75.4699|39.3322|75.4699|0.5|2014-06-21|23.55|7.2|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|12.55|not determined|not determined|392.86|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Depth","param_value":"0.2","uom":"m"}]|
(200 rows)
